x,row names,Fine_habitat,Habitat,Habitat_color,Color_family,Color_superfamily,Water,Water_color,Inc_brackish,IB_color,Mouth_type,mouth_color
Tetraodontidae_Lagocephalus_guentheri_USNMAC1VJ91,Tetraodontidae_Lagocephalus_guentheri_USNMAC1VJ91,nonreef,nonreef,grey,forestgreen,#3A0CA3,marine,red,marine,red,beak,blue
Tetraodontidae_Lagocephalus_laevigatus_UPRFL1635,Tetraodontidae_Lagocephalus_laevigatus_UPRFL1635,nonreef,nonreef,grey,forestgreen,#3A0CA3,marine,red,brackish,blue,beak,blue
Tetraodontidae_Lagocephalus_sceleratus_EPLATE_52_C10,Tetraodontidae_Lagocephalus_sceleratus_EPLATE_52_C10,nonreef,nonreef,grey,forestgreen,#3A0CA3,marine,red,marine,red,beak,blue
Tetraodontidae_Lagocephalus_spadiceus_USNMAG9RG48,Tetraodontidae_Lagocephalus_spadiceus_USNMAG9RG48,nonreef,nonreef,grey,forestgreen,#3A0CA3,marine,red,brackish,blue,beak,blue
Tetraodontidae_Marilyna_darwinii_T0085,Tetraodontidae_Marilyna_darwinii_T0085,nonreef,nonreef,grey,forestgreen,#3A0CA3,marine,red,brackish,blue,beak,blue
Tetraodontidae_Monotrete_leiurus_T0086,Tetraodontidae_Monotrete_leiurus_T0086,nonreef,nonreef,grey,forestgreen,#3A0CA3,freshwater,grey,freshwater,grey,beak,blue
Tetraodontidae_Sphoeroides_annulatus_BFT05089,Tetraodontidae_Sphoeroides_annulatus_BFT05089,low_reef,reef,red,forestgreen,#3A0CA3,marine,red,brackish,blue,beak,blue
Tetraodontidae_Sphoeroides_dorsalis_USNMAB4OP01,Tetraodontidae_Sphoeroides_dorsalis_USNMAB4OP01,nonreef,nonreef,grey,forestgreen,#3A0CA3,marine,red,marine,red,beak,blue
Tetraodontidae_Sphoeroides_greeleyi_UPRFL1637,Tetraodontidae_Sphoeroides_greeleyi_UPRFL1637,low_reef,reef,red,forestgreen,#3A0CA3,marine,red,brackish,blue,beak,blue
Tetraodontidae_Sphoeroides_lobatus_UPRFL1301,Tetraodontidae_Sphoeroides_lobatus_UPRFL1301,nonreef,nonreef,grey,forestgreen,#3A0CA3,marine,red,brackish,blue,beak,blue
Tetraodontidae_Sphoeroides_maculatus_USNMAE2QZ45,Tetraodontidae_Sphoeroides_maculatus_USNMAE2QZ45,nonreef,nonreef,grey,forestgreen,#3A0CA3,marine,red,brackish,blue,beak,blue
Tetraodontidae_Sphoeroides_marmoratus_USNMAD9NE03,Tetraodontidae_Sphoeroides_marmoratus_USNMAD9NE03,nonreef,nonreef,grey,forestgreen,#3A0CA3,marine,red,marine,red,beak,blue
Tetraodontidae_Sphoeroides_nephelus_USNMAC4YB58,Tetraodontidae_Sphoeroides_nephelus_USNMAC4YB58,low_reef,reef,red,forestgreen,#3A0CA3,marine,red,brackish,blue,beak,blue
Tetraodontidae_Sphoeroides_pachygaster_USNMAD9ND61,Tetraodontidae_Sphoeroides_pachygaster_USNMAD9ND61,nonreef,nonreef,grey,forestgreen,#3A0CA3,marine,red,marine,red,beak,blue
Tetraodontidae_Sphoeroides_spengleri_UPRFL0410,Tetraodontidae_Sphoeroides_spengleri_UPRFL0410,low_reef,reef,red,forestgreen,#3A0CA3,marine,red,brackish,blue,beak,blue
Tetraodontidae_Sphoeroides_testudineus_USNMAC8CC45,Tetraodontidae_Sphoeroides_testudineus_USNMAC8CC45,low_reef,reef,red,forestgreen,#3A0CA3,marine,red,brackish,blue,beak,blue
Tetraodontidae_Takifugu_niphobles_EPLATE_67_F07,Tetraodontidae_Takifugu_niphobles_EPLATE_67_F07,nonreef,nonreef,grey,forestgreen,#3A0CA3,marine,red,marine,red,beak,blue
Tetraodontidae_Takifugu_ocellatus_T0088,Tetraodontidae_Takifugu_ocellatus_T0088,nonreef,nonreef,grey,forestgreen,#3A0CA3,freshwater,grey,freshwater,grey,beak,blue
Tetraodontidae_Tetraodon_biocellatus_T0052,Tetraodontidae_Tetraodon_biocellatus_T0052,nonreef,nonreef,grey,forestgreen,#3A0CA3,freshwater,grey,freshwater,grey,beak,blue
Tetraodontidae_Tetraodon_fluviatilis_T0053,Tetraodontidae_Tetraodon_fluviatilis_T0053,nonreef,nonreef,grey,forestgreen,#3A0CA3,freshwater,grey,freshwater,grey,beak,blue
Tetraodontidae_Tetraodon_mbu_T0089,Tetraodontidae_Tetraodon_mbu_T0089,nonreef,nonreef,grey,forestgreen,#3A0CA3,freshwater,grey,freshwater,grey,beak,blue
