x,row names,Fine_habitat,Habitat,Habitat_color,Color_family,Color_superfamily,Water,Water_color,Inc_brackish,IB_color,Mouth_type,mouth_color
FF_Frigocanthus_stroppanobili,FF_Frigocanthus_stroppanobili,,nonreef,grey,,,,,,,nonbeak,
FF_Gornylistes_prodigiosus,FF_Gornylistes_prodigiosus,,nonreef,grey,,,,,,,nonbeak,
FF_Heptadiodon_echinus,FF_Heptadiodon_echinus,,reef,red,,,,,,,beak,
FF_Iraniplectus_bakhtiari,FF_Iraniplectus_bakhtiari,,nonreef,grey,,,,,,,beak,
FF_Leithaodon_sandroi,FF_Leithaodon_sandroi,,nonreef,grey,,,,,,,beak,
FF_Moclaybalistes_danekrus,FF_Moclaybalistes_danekrus,,nonreef,grey,,,,,,,nonbeak,
FF_Oligobalistes_robustus,FF_Oligobalistes_robustus,,nonreef,grey,,,,,,,nonbeak,
FF_Oligolactoria_bubiki,FF_Oligolactoria_bubiki,,nonreef,grey,,,,,,,nonbeak,
FF_Plectocretacicus_clarae,FF_Plectocretacicus_clarae,,nonreef,grey,,,,,,,nonbeak,
FF_Proaracana_dubia,FF_Proaracana_dubia,,reef,red,,,,,,,nonbeak,
FF_Prodiodon_erinaceus,FF_Prodiodon_erinaceus,,reef,red,,,,,,,beak,
FF_Prodiodon_tenuispinus,FF_Prodiodon_tenuispinus,,reef,red,,,,,,,beak,
FF_Prohollardia_avita,FF_Prohollardia_avita,,nonreef,grey,,,,,,,nonbeak,
FF_Protacanthodes_nimesensis,FF_Protacanthodes_nimesensis,,reef,red,,,,,,,nonbeak,
FF_Protacanthodes_ombonii,FF_Protacanthodes_ombonii,,reef,red,,,,,,,nonbeak,
FF_Protobalistum_imperialis,FF_Protobalistum_imperialis,,reef,red,,,,,,,nonbeak,
FF_Protriacanthus_gortanii,FF_Protriacanthus_gortanii,,nonreef,grey,,,,,,,nonbeak,
FF_Pshekhadiodon_parini,FF_Pshekhadiodon_parini,,nonreef,grey,,,,,,,beak,
FF_Slovenitriacanthus_saksidae,FF_Slovenitriacanthus_saksidae,,nonreef,grey,,,,,,,nonbeak,
FF_Sphoeroides_hyperostosus,FF_Sphoeroides_hyperostosus,low_reef,nonreef,grey,azure4,#3A0CA3,marine,red,,,beak,blue
FF_Spinacanthus_cuneiformis,FF_Spinacanthus_cuneiformis,,reef,red,,,,,,,nonbeak,
FF_Triodon_antiquus,FF_Triodon_antiquus,nonreef,nonreef,grey,azure4,#F72585,marine,red,,,beak,blue
FF_Zignodon_fornasieroae,FF_Zignodon_fornasieroae,,reef,red,,,,,,,beak,
FF_Zignoichthys_oblongus,FF_Zignoichthys_oblongus,,reef,red,,,,,,,beak,
Lophiidae_Lophiodes_caulinaris_USNMAG7PC44,Lophiidae_Lophiodes_caulinaris_USNMAG7PC44,nonreef,nonreef,grey,azure4,,marine,red,,,nonbeak,
Lophiidae_Lophiodes_spilurus_USNMAG7PF91,Lophiidae_Lophiodes_spilurus_USNMAG7PF91,nonreef,nonreef,grey,azure4,,marine,red,,,nonbeak,
Lophiidae_Lophiomus_cf_setigerus_EPLATE_47_G05,Lophiidae_Lophiomus_cf_setigerus_EPLATE_47_G05,nonreef,nonreef,grey,azure4,,marine,red,,,nonbeak,
Lophiidae_Lophius_litulon_CSIROGT6889,Lophiidae_Lophius_litulon_CSIROGT6889,nonreef,nonreef,grey,azure4,,marine,red,,,nonbeak,
Lophiodes_monodi,Lophiodes_monodi,nonreef,nonreef,grey,azure4,,marine,red,,,nonbeak,
Molidae_Masturus_lanceolatus_T0028,Molidae_Masturus_lanceolatus_T0028,nonreef,nonreef,grey,red,#3A0CA3,marine,red,,,beak,blue
Molidae_Ranzania_laevis_T0042,Molidae_Ranzania_laevis_T0042,nonreef,nonreef,grey,red,#3A0CA3,marine,red,,,beak,blue
Monacanthidae_Acreichthys_tomentosus_T0073,Monacanthidae_Acreichthys_tomentosus_T0073,low_reef,reef,red,lightblue,#F35B04,marine,red,,,nonbeak,orange
Monacanthidae_Aluterus_heudelotii_USNMAD9NE01,Monacanthidae_Aluterus_heudelotii_USNMAD9NE01,nonreef,nonreef,grey,lightblue,#F35B04,marine,red,,,nonbeak,orange
Monacanthidae_Aluterus_monoceros_UPRFL1497,Monacanthidae_Aluterus_monoceros_UPRFL1497,nonreef,nonreef,grey,lightblue,#F35B04,marine,red,,,nonbeak,orange
Monacanthidae_Aluterus_scriptus_UPRFL0003,Monacanthidae_Aluterus_scriptus_UPRFL0003,mod_reef,reef,red,lightblue,#F35B04,marine,red,,,nonbeak,orange
Monacanthidae_Amanses_scopas_USNMAG5NQ54,Monacanthidae_Amanses_scopas_USNMAG5NQ54,low_reef,reef,red,lightblue,#F35B04,marine,red,,,nonbeak,orange
Monacanthidae_Cantherhines_dumerilii_USNMAG9RT41,Monacanthidae_Cantherhines_dumerilii_USNMAG9RT41,strong_reef,reef,red,lightblue,#F35B04,marine,red,,,nonbeak,orange
Monacanthidae_Cantherhines_fronticinctus_USNMAC1VI44,Monacanthidae_Cantherhines_fronticinctus_USNMAC1VI44,low_reef,reef,red,lightblue,#F35B04,marine,red,,,nonbeak,orange
Monacanthidae_Cantherhines_longicaudus_USNMAG9RP49,Monacanthidae_Cantherhines_longicaudus_USNMAG9RP49,nonreef,nonreef,grey,lightblue,#F35B04,marine,red,,,nonbeak,orange
Monacanthidae_Cantherhines_nukuhiva_USNMAG7PW33,Monacanthidae_Cantherhines_nukuhiva_USNMAG7PW33,low_reef,reef,red,lightblue,#F35B04,marine,red,,,nonbeak,orange
Monacanthidae_Cantherhines_pardalis_USNMAB6QU07,Monacanthidae_Cantherhines_pardalis_USNMAB6QU07,low_reef,reef,red,lightblue,#F35B04,marine,red,,,nonbeak,orange
Monacanthidae_Cantherhines_pullus_UPRFL0403,Monacanthidae_Cantherhines_pullus_UPRFL0403,mod_reef,reef,red,lightblue,#F35B04,marine,red,,,nonbeak,orange
Monacanthidae_Cantherhines_sandwichiensis_USNMAG5NP68,Monacanthidae_Cantherhines_sandwichiensis_USNMAG5NP68,mod_reef,reef,red,lightblue,#F35B04,marine,red,,,nonbeak,orange
Monacanthidae_Chaetoderma_penicilligera_EPLATE_51_F09,Monacanthidae_Chaetoderma_penicilligera_EPLATE_51_F09,low_reef,reef,red,lightblue,#F35B04,marine,red,,,nonbeak,orange
Monacanthidae_Eubalichthys_bucephalus_EPLATE_74_D04,Monacanthidae_Eubalichthys_bucephalus_EPLATE_74_D04,nonreef,nonreef,grey,lightblue,#F35B04,marine,red,,,nonbeak,orange
Monacanthidae_Eubalichthys_caeruleoguttatus_EPLATE_51_G09,Monacanthidae_Eubalichthys_caeruleoguttatus_EPLATE_51_G09,nonreef,nonreef,grey,lightblue,#F35B04,marine,red,,,nonbeak,orange
Monacanthidae_Eubalichthys_mosaicus_EPLATE_53_B03,Monacanthidae_Eubalichthys_mosaicus_EPLATE_53_B03,low_reef,reef,red,lightblue,#F35B04,marine,red,,,nonbeak,orange
Monacanthidae_Eubalichthys_quadrispinis_EPLATE_53_G02,Monacanthidae_Eubalichthys_quadrispinis_EPLATE_53_G02,low_reef,reef,red,lightblue,#F35B04,marine,red,,,nonbeak,orange
Monacanthidae_Meuschenia_trachylepis_EPLATE_53_G01,Monacanthidae_Meuschenia_trachylepis_EPLATE_53_G01,low_reef,reef,red,lightblue,#F35B04,marine,red,,,nonbeak,orange
Monacanthidae_Monacanthus_chinensis_ciliatus_T0074,Monacanthidae_Monacanthus_chinensis_ciliatus_T0074,low_reef,reef,red,lightblue,#F35B04,marine,red,,,nonbeak,orange
Monacanthidae_Oxymonacanthus_longirostris_EPLATE_53_G05,Monacanthidae_Oxymonacanthus_longirostris_EPLATE_53_G05,strong_reef,reef,red,lightblue,#F35B04,marine,red,,,nonbeak,orange
Monacanthidae_Paraluteres_prionurus_T0040,Monacanthidae_Paraluteres_prionurus_T0040,low_reef,reef,red,lightblue,#F35B04,marine,red,,,nonbeak,orange
Monacanthidae_Paramonacanthus_choirocephalus_EPLATE_53_D01,Monacanthidae_Paramonacanthus_choirocephalus_EPLATE_53_D01,nonreef,nonreef,grey,lightblue,#F35B04,marine,red,,,nonbeak,orange
Monacanthidae_Paramonacanthus_filicauda_EPLATE_53_C01,Monacanthidae_Paramonacanthus_filicauda_EPLATE_53_C01,nonreef,nonreef,grey,lightblue,#F35B04,marine,red,,,nonbeak,orange
Monacanthidae_Paramonacanthus_japonicus_EPLATE_51_B11,Monacanthidae_Paramonacanthus_japonicus_EPLATE_51_B11,nonreef,nonreef,grey,lightblue,#F35B04,marine,red,,,nonbeak,orange
Monacanthidae_Paramonacanthus_lowei_EPLATE_51_C11,Monacanthidae_Paramonacanthus_lowei_EPLATE_51_C11,nonreef,nonreef,grey,lightblue,#F35B04,marine,red,,,nonbeak,orange
Monacanthidae_Paramonacanthus_oblongus_EPLATE_53_E01,Monacanthidae_Paramonacanthus_oblongus_EPLATE_53_E01,nonreef,nonreef,grey,lightblue,#F35B04,marine,red,,,nonbeak,orange
Monacanthidae_Pervagor_aspricaudus_USNMAG5NP14,Monacanthidae_Pervagor_aspricaudus_USNMAG5NP14,low_reef,reef,red,lightblue,#F35B04,marine,red,,,nonbeak,orange
Monacanthidae_Pervagor_janthinosoma_EPLATE_53_A06,Monacanthidae_Pervagor_janthinosoma_EPLATE_53_A06,low_reef,reef,red,lightblue,#F35B04,marine,red,,,nonbeak,orange
Monacanthidae_Pervagor_marginalis_USNMAG7PU39,Monacanthidae_Pervagor_marginalis_USNMAG7PU39,low_reef,reef,red,lightblue,#F35B04,marine,red,,,nonbeak,orange
Monacanthidae_Pervagor_melanocephalus_USNMAB6QU45,Monacanthidae_Pervagor_melanocephalus_USNMAB6QU45,low_reef,reef,red,lightblue,#F35B04,marine,red,,,nonbeak,orange
Monacanthidae_Pervagor_nigrolineatus_T0076,Monacanthidae_Pervagor_nigrolineatus_T0076,low_reef,reef,red,lightblue,#F35B04,marine,red,,,nonbeak,orange
Monacanthidae_Pseudalutarius_cf_nasicornis_EPLATE_53_B01,Monacanthidae_Pseudalutarius_cf_nasicornis_EPLATE_53_B01,low_reef,reef,red,lightblue,#F35B04,marine,red,,,nonbeak,orange
Monacanthidae_Pseudomonacanthus_elongatus_EPLATE_51_H09,Monacanthidae_Pseudomonacanthus_elongatus_EPLATE_51_H09,nonreef,nonreef,grey,lightblue,#F35B04,marine,red,,,nonbeak,orange
Monacanthidae_Pseudomonacanthus_macrurus_USNMAB6QQ85,Monacanthidae_Pseudomonacanthus_macrurus_USNMAB6QQ85,low_reef,reef,red,lightblue,#F35B04,marine,red,,,nonbeak,orange
Monacanthidae_Pseudomonacanthus_peroni_EPLATE_52_D12,Monacanthidae_Pseudomonacanthus_peroni_EPLATE_52_D12,low_reef,reef,red,lightblue,#F35B04,marine,red,,,nonbeak,orange
Monacanthidae_Rudarius_minutus_EPLATE_53_F05,Monacanthidae_Rudarius_minutus_EPLATE_53_F05,low_reef,reef,red,lightblue,#F35B04,marine,red,,,nonbeak,orange
Monacanthidae_Stephanolepis_cirrhifer_T0077,Monacanthidae_Stephanolepis_cirrhifer_T0077,nonreef,nonreef,grey,lightblue,#F35B04,marine,red,,,nonbeak,orange
Monacanthidae_Stephanolepis_hispidus_USNMAD9ND41,Monacanthidae_Stephanolepis_hispidus_USNMAD9ND41,low_reef,reef,red,lightblue,#F35B04,marine,red,,,nonbeak,orange
Monacanthidae_Stephanolepis_setifer_USNMAC4YM29,Monacanthidae_Stephanolepis_setifer_USNMAC4YM29,low_reef,reef,red,lightblue,#F35B04,marine,red,,,nonbeak,orange
Monacanthidae_Thamnaconus_degeni_EPLATE_53_B02,Monacanthidae_Thamnaconus_degeni_EPLATE_53_B02,nonreef,nonreef,grey,lightblue,#F35B04,marine,red,,,nonbeak,orange
Monacanthidae_Thamnaconus_tessellatus_EPLATE_53_D03,Monacanthidae_Thamnaconus_tessellatus_EPLATE_53_D03,nonreef,nonreef,grey,lightblue,#F35B04,marine,red,,,nonbeak,orange
Monocanthidae_Acanthaluteres_spilomelanurus_EPLATE_53_A02,Monocanthidae_Acanthaluteres_spilomelanurus_EPLATE_53_A02,nonreef,nonreef,grey,lightblue,#F35B04,marine,red,,,nonbeak,orange
Monocanthidae_Acanthaluteres_vittiger_EPLATE_53_C02,Monocanthidae_Acanthaluteres_vittiger_EPLATE_53_C02,nonreef,nonreef,grey,lightblue,#F35B04,marine,red,,,nonbeak,orange
Monocanthidae_Anacanthus_barbatus_EPLATE_52_E12,Monocanthidae_Anacanthus_barbatus_EPLATE_52_E12,low_reef,reef,red,lightblue,#F35B04,marine,red,,,nonbeak,orange
Monocanthidae_Brachaluteres_jacksonianus_EPLATE_52_F12,Monocanthidae_Brachaluteres_jacksonianus_EPLATE_52_F12,low_reef,reef,red,lightblue,#F35B04,marine,red,,,nonbeak,orange
Monocanthidae_Brachaluteres_taylori_EPLATE_52_G12,Monocanthidae_Brachaluteres_taylori_EPLATE_52_G12,low_reef,reef,red,lightblue,#F35B04,marine,red,,,nonbeak,orange
Monocanthidae_Cantheschenia_grandisquamis_EPLATE_53_C03,Monocanthidae_Cantheschenia_grandisquamis_EPLATE_53_C03,low_reef,reef,red,lightblue,#F35B04,marine,red,,,nonbeak,orange
Monocanthidae_Eubalichthys_gunnii_EPLATE_53_A03,Monocanthidae_Eubalichthys_gunnii_EPLATE_53_A03,nonreef,nonreef,grey,lightblue,#F35B04,marine,red,,,nonbeak,orange
Monocanthidae_Thamnaconus_striatus_EPLATE_51_G11,Monocanthidae_Thamnaconus_striatus_EPLATE_51_G11,nonreef,nonreef,grey,lightblue,#F35B04,marine,red,,,nonbeak,orange
Ostraciidae_Acanthostracion_polygonius_USNMAC2WV43,Ostraciidae_Acanthostracion_polygonius_USNMAC2WV43,low_reef,reef,red,lightgoldenrod1,#FDC500,marine,red,,,nonbeak,orange
Ostraciidae_Acanthostracion_quadricornis_UPRFL0075,Ostraciidae_Acanthostracion_quadricornis_UPRFL0075,low_reef,reef,red,lightgoldenrod1,#FDC500,marine,red,,,nonbeak,orange
Ostraciidae_Lactophrys_trigonus_USNMAC2WQ88,Ostraciidae_Lactophrys_trigonus_USNMAC2WQ88,low_reef,reef,red,lightgoldenrod1,#FDC500,marine,red,,,nonbeak,orange
Ostraciidae_Lactophrys_triqueter_UPRFL0072,Ostraciidae_Lactophrys_triqueter_UPRFL0072,low_reef,reef,red,lightgoldenrod1,#FDC500,marine,red,,,nonbeak,orange
Ostraciidae_Lactoria_cornuta_USNMAG9RD87,Ostraciidae_Lactoria_cornuta_USNMAG9RD87,low_reef,reef,red,lightgoldenrod1,#FDC500,marine,red,,,nonbeak,orange
Ostraciidae_Lactoria_diaphana_T0026,Ostraciidae_Lactoria_diaphana_T0026,mod_reef,reef,red,lightgoldenrod1,#FDC500,marine,red,,,nonbeak,orange
Ostraciidae_Lactoria_fornasini_T0055,Ostraciidae_Lactoria_fornasini_T0055,low_reef,reef,red,lightgoldenrod1,#FDC500,marine,red,,,nonbeak,orange
Ostraciidae_Ostracion_cubicus_USNMAG5NP65,Ostraciidae_Ostracion_cubicus_USNMAG5NP65,mod_reef,reef,red,lightgoldenrod1,#FDC500,marine,red,,,nonbeak,orange
Ostraciidae_Ostracion_meleagris_USNMAG9RT93,Ostraciidae_Ostracion_meleagris_USNMAG9RT93,mod_reef,reef,red,lightgoldenrod1,#FDC500,marine,red,,,nonbeak,orange
Ostraciidae_Ostracion_nasus_tuberculatus_T0035,Ostraciidae_Ostracion_nasus_tuberculatus_T0035,low_reef,reef,red,lightgoldenrod1,#FDC500,marine,red,,,nonbeak,orange
Ostraciidae_Ostracion_rhinorhynchos_T0036,Ostraciidae_Ostracion_rhinorhynchos_T0036,low_reef,reef,red,lightgoldenrod1,#FDC500,marine,red,,,nonbeak,orange
Ostraciidae_Ostracion_solorensis_T0037,Ostraciidae_Ostracion_solorensis_T0037,low_reef,reef,red,lightgoldenrod1,#FDC500,marine,red,,,nonbeak,orange
Ostraciidae_Ostracion_whitleyi_USNMAG7PW56,Ostraciidae_Ostracion_whitleyi_USNMAG7PW56,low_reef,reef,red,lightgoldenrod1,#FDC500,marine,red,,,nonbeak,orange
Ostraciidae_Rhynchostracion_nasus_EPLATE_53_D05,Ostraciidae_Rhynchostracion_nasus_EPLATE_53_D05,low_reef,reef,red,lightgoldenrod1,#FDC500,marine,red,,,nonbeak,orange
Ostraciidae_Tetrosomus_concatenatus_T0056,Ostraciidae_Tetrosomus_concatenatus_T0056,low_reef,reef,red,lightgoldenrod1,#FDC500,marine,red,,,nonbeak,orange
Ostraciidae_Tetrosomus_gibbosus_T0057,Ostraciidae_Tetrosomus_gibbosus_T0057,low_reef,reef,red,lightgoldenrod1,#FDC500,marine,red,,,nonbeak,orange
